Date,Year,Month,Month_Number,Model,Series,Segment,Region,Unit Price (USD),Units Sold,Total Revenue (USD),Cores,Threads,TDP (Watts),Lithography (nm),Total Cores Shipped,Total Threads Shipped,Est Power Shipped (kW)
2023-01-27,2023,January,1,Celeron G6900,CELERON,DESKTOP,ASIA-PACIFIC,42,361.0,15162.0,2,2,46,10,722,722,16.606
2023-01-28,2023,January,1,Atom C5125,ATOM,EMBEDDED,ASIA-PACIFIC,120,249.0,29880.0,8,8,50,10,1992,1992,12.45
2023-01-29,2023,January,1,Atom C5320,ATOM,EMBEDDED,ASIA-PACIFIC,150,204.0,30600.0,8,8,41,10,1632,1632,8.364
2023-01-30,2023,January,1,Atom C3758R,ATOM,EMBEDDED,ASIA-PACIFIC,95,300.0,28500.0,8,8,26,14,2400,2400,7.8
2023-01-31,2023,January,1,Core i9-12900K,CELERON,DESKTOP,LATIN AMERICA,589,142.0,83638.0,16,24,125,10,2272,3408,17.75
2023-02-01,2023,January,1,Core i7-12700K,CORE I7,DESKTOP,LATIN AMERICA,384,248.0,,12,20,125,10,2976,4960,31.0
2023-02-02,2023,January,1,Core i5-12600K,CORE I5,DESKTOP,LATIN AMERICA,289,319.0,92191.0,10,16,125,10,3190,5104,39.875
2023-02-03,2023,January,1,Core i5-12400,CELERON,DESKTOP,LATIN AMERICA,192,624.0,119808.0,6,12,65,10,3744,7488,40.56
2023-02-04,2023,January,1,Core i3-12100,CORE I3,DESKTOP,LATIN AMERICA,110,523.0,57530.0,4,8,60,10,2092,4184,31.38
2023-02-04,2023,March,3,Core i7-12700K,CORE I7,DESKTOP,EUROPE,384,574.0,220416.0,12,20,125,10,6888,11480,71.75
2023-02-05,2023,January,1,Pentium Gold G7400,PENTIUM,DESKTOP,LATIN AMERICA,64,250.0,,2,4,46,10,500,1000,11.5
2023-02-06,2023,January,1,Celeron G6900,CELERON,DESKTOP,LATIN AMERICA,42,172.0,7224.0,2,2,46,10,344,344,7.912
2023-02-07,2023,January,1,Atom C5125,ATOM,EMBEDDED,LATIN AMERICA,120,100.0,12000.0,8,8,50,10,800,800,5.0
2023-02-08,2023,January,1,Atom C5320,ATOM,EMBEDDED,LATIN AMERICA,150,96.0,14400.0,8,8,41,10,768,768,3.936
2023-02-09,2023,July,7,Core i3-12100,CORE I3,DESKTOP,NORTH AMERICA,110,923.0,101530.0,4,8,60,10,3692,7384,55.38
2023-02-10,2023,February,2,Core i9-12900K,CORE I9,DESKTOP,NORTH AMERICA,589,244.0,143716.0,16,24,125,10,3904,5856,30.5
2023-02-12,2023,February,2,Core i5-12600K,CORE I5,DESKTOP,NORTH AMERICA,289,631.0,182359.0,10,16,125,10,6310,10096,78.875
2023-02-13,2023,February,2,Core i5-12400,CORE I5,DESKTOP,NORTH AMERICA,192,1236.0,237312.0,6,12,65,10,7416,14832,80.34
2023-02-14,2023,February,2,Core i3-12100,CELERON,DESKTOP,NORTH AMERICA,110,851.0,93610.0,4,8,60,10,3404,6808,51.06
2023-02-15,2023,February,2,Pentium Gold G7400,PENTIUM,DESKTOP,NORTH AMERICA,64,481.0,30784.0,2,4,46,10,962,1924,22.126
2023-02-16,2023,February,2,Celeron G6900,CELERON,DESKTOP,NORTH AMERICA,42,346.0,14532.0,2,2,46,10,692,692,15.916
2023-02-17,2023,February,2,Atom C5125,ATOM,EMBEDDED,NORTH AMERICA,120,230.0,27600.0,8,8,50,10,1840,1840,11.5
2023-02-18,2023,February,2,Atom C5320,ATOM,EMBEDDED,NORTH AMERICA,150,186.0,27900.0,8,8,41,10,1488,1488,7.626
2023-02-19,2023,February,2,Atom C3758R,ATOM,EMBEDDED,NORTH AMERICA,95,290.0,27550.0,8,8,26,14,2320,2320,7.54
2023-02-20,2023,February,2,Core i9-12900K,CORE I9,DESKTOP,EUROPE,589,261.0,153729.0,16,24,125,10,4176,6264,32.625
2023-02-21,2023,February,2,Core i7-12700K,CORE I7,DESKTOP,EUROPE,384,496.0,190464.0,12,20,125,10,5952,9920,62.0
2023-02-22,2023,February,2,Core i5-12600K,CORE I5,DESKTOP,EUROPE,289,,199988.0,10,16,125,10,6920,11072,86.5
2023-02-23,2023,February,2,Core i5-12400,CORE I5,DESKTOP,EUROPE,192,1026.0,196992.0,6,12,65,10,6156,12312,66.69
2023-02-24,2023,February,2,Core i3-12100,CELERON,DESKTOP,EUROPE,110,787.0,86570.0,4,8,60,10,3148,6296,47.22
2023-02-25,2023,February,2,Pentium Gold G7400,PENTIUM,DESKTOP,EUROPE,64,430.0,27520.0,2,4,46,10,860,1720,19.78
2023-02-26,2023,February,2,Celeron G6900,CELERON,DESKTOP,EUROPE,42,268.0,11256.0,2,2,46,10,536,536,12.328
2023-02-27,2023,February,2,Atom C5125,ATOM,EMBEDDED,EUROPE,120,173.0,20760.0,8,8,50,10,1384,1384,8.65
2023-02-28,2023,February,2,Atom C5320,ATOM,EMBEDDED,EUROPE,150,,,8,8,41,10,1056,1056,5.412
2023-03-01,2023,February,2,Atom C3758R,ATOM,EMBEDDED,EUROPE,95,253.0,24035.0,8,8,26,14,2024,2024,6.578
2023-03-01,2023,January,1,Core i5-12600K,CELERON,DESKTOP,NORTH AMERICA,289,785.0,226865.0,10,16,125,10,7850,12560,98.125
2023-03-02,2023,February,2,Core i9-12900K,CELERON,DESKTOP,ASIA-PACIFIC,589,288.0,169632.0,16,24,125,10,4608,6912,36.0
2023-03-03,2023,February,2,Core i7-12700K,CORE I7,DESKTOP,ASIA-PACIFIC,384,555.0,213120.0,12,20,125,10,6660,11100,69.375
2023-03-05,2023,February,2,Core i5-12400,CORE I5,DESKTOP,ASIA-PACIFIC,192,1142.0,219264.0,6,12,65,10,6852,13704,74.23
2023-03-07,2023,February,2,Pentium Gold G7400,PENTIUM,DESKTOP,ASIA-PACIFIC,64,503.0,32192.0,2,4,46,10,1006,2012,23.138
2023-03-08,2023,February,2,Celeron G6900,CELERON,DESKTOP,ASIA-PACIFIC,42,354.0,14868.0,2,2,46,10,708,708,16.284
2023-03-09,2023,February,2,Atom C5125,ATOM,EMBEDDED,ASIA-PACIFIC,120,,32520.0,8,8,50,10,2168,2168,13.55
2023-03-10,2023,July,7,Pentium Gold G7400,PENTIUM,DESKTOP,LATIN AMERICA,64,270.0,17280.0,2,4,46,10,540,1080,12.42
2023-03-11,2023,February,2,Atom C3758R,ATOM,EMBEDDED,ASIA-PACIFIC,95,,37810.0,8,8,26,14,3184,3184,10.348
2023-03-13,2023,February,2,Core i7-12700K,CORE I7,DESKTOP,LATIN AMERICA,384,250.0,96000.0,12,20,125,10,3000,5000,31.25
2023-03-14,2023,February,2,Core i5-12600K,CORE I5,DESKTOP,LATIN AMERICA,289,312.0,90168.0,10,16,125,10,3120,4992,39.0
2023-03-15,2023,February,2,Core i5-12400,CELERON,DESKTOP,LATIN AMERICA,192,602.0,115584.0,6,12,65,10,3612,7224,39.13
2023-03-16,2023,February,2,Core i3-12100,CELERON,DESKTOP,LATIN AMERICA,110,487.0,53570.0,4,8,60,10,1948,3896,29.22
2023-03-17,2023,February,2,Pentium Gold G7400,PENTIUM,DESKTOP,LATIN AMERICA,64,245.0,15680.0,2,4,46,10,490,980,11.27
2023-03-18,2023,February,2,Celeron G6900,CELERON,DESKTOP,LATIN AMERICA,42,198.0,8316.0,2,2,46,10,396,396,9.108
2023-03-19,2023,February,2,Atom C5125,ATOM,EMBEDDED,LATIN AMERICA,120,100.0,12000.0,8,8,50,10,800,800,5.0
2023-03-20,2023,February,2,Atom C5320,ATOM,EMBEDDED,LATIN AMERICA,150,87.0,13050.0,8,8,41,10,696,696,3.567
2023-03-21,2023,February,2,Atom C3758R,ATOM,EMBEDDED,LATIN AMERICA,95,142.0,13490.0,8,8,26,14,1136,1136,3.692
2023-03-22,2023,March,3,Core i9-12900K,CELERON,DESKTOP,NORTH AMERICA,589,359.0,211451.0,16,24,125,10,5744,8616,44.875
2023-03-23,2023,March,3,Core i7-12700K,CORE I7,DESKTOP,NORTH AMERICA,384,671.0,257664.0,12,20,125,10,8052,13420,83.875
2023-03-24,2023,March,3,Core i5-12600K,CELERON,DESKTOP,NORTH AMERICA,289,820.0,236980.0,10,16,125,10,8200,13120,102.5
2023-03-25,2023,March,3,Core i5-12400,CORE I5,DESKTOP,NORTH AMERICA,192,1126.0,216192.0,6,12,65,10,6756,13512,73.19
2023-03-26,2023,March,3,Core i3-12100,CORE I3,DESKTOP,NORTH AMERICA,110,1018.0,111980.0,4,8,60,10,4072,8144,61.08
2023-03-27,2023,March,3,Pentium Gold G7400,PENTIUM,DESKTOP,NORTH AMERICA,64,511.0,32704.0,2,4,46,10,1022,2044,23.506
2023-03-28,2023,March,3,Celeron G6900,CELERON,DESKTOP,NORTH AMERICA,42,,19362.0,2,2,46,10,922,922,21.206
2023-03-29,2023,March,3,Atom C5125,ATOM,EMBEDDED,NORTH AMERICA,120,281.0,33720.0,8,8,50,10,2248,2248,14.05
2023-03-30,2023,March,3,Atom C5320,ATOM,EMBEDDED,NORTH AMERICA,150,241.0,,8,8,41,10,1928,1928,9.881
2023-03-31,2023,March,3,Atom C3758R,ATOM,EMBEDDED,NORTH AMERICA,95,374.0,35530.0,8,8,26,14,2992,2992,9.724
2023-04-03,2023,February,2,Core i5-12600K,CORE I5,DESKTOP,ASIA-PACIFIC,289,874.0,252586.0,10,16,125,10,8740,13984,109.25
2023-04-03,2023,March,3,Core i5-12600K,CORE I5,DESKTOP,EUROPE,289,776.0,224264.0,10,16,125,10,7760,12416,97.0
2023-04-04,2023,March,3,Core i5-12400,CORE I5,DESKTOP,EUROPE,192,1099.0,211008.0,6,12,65,10,6594,13188,71.435
2023-04-07,2023,March,3,Celeron G6900,CELERON,DESKTOP,EUROPE,42,362.0,15204.0,2,2,46,10,724,724,16.652
2023-04-08,2023,March,3,Atom C5125,ATOM,EMBEDDED,EUROPE,120,220.0,26400.0,8,8,50,10,1760,1760,11.0
2023-04-09,2023,July,7,Celeron G6900,CELERON,DESKTOP,NORTH AMERICA,42,422.0,17724.0,2,2,46,10,844,844,19.412
2023-04-09,2023,March,3,Atom C5320,ATOM,EMBEDDED,EUROPE,150,154.0,23100.0,8,8,41,10,1232,1232,6.314
2023-04-10,2023,July,7,Celeron G6900,CELERON,DESKTOP,LATIN AMERICA,42,235.0,9870.0,2,2,46,10,470,470,10.81
2023-04-11,2023,March,3,Core i9-12900K,CELERON,DESKTOP,ASIA-PACIFIC,589,301.0,177289.0,16,24,125,10,4816,7224,37.625
2023-04-12,2023,September,9,Atom C5125,ATOM,EMBEDDED,EUROPE,120,238.0,28560.0,8,8,50,10,1904,1904,11.9
2023-04-12,2023,March,3,Core i7-12700K,CELERON,DESKTOP,ASIA-PACIFIC,384,730.0,280320.0,12,20,125,10,8760,14600,91.25
2023-04-13,2023,March,3,Core i5-12600K,CORE I5,DESKTOP,ASIA-PACIFIC,289,883.0,255187.0,10,16,125,10,8830,14128,110.375
2023-04-14,2023,March,3,Core i5-12400,CELERON,DESKTOP,ASIA-PACIFIC,192,1407.0,,6,12,65,10,8442,16884,91.455
2023-04-15,2023,March,3,Core i3-12100,CELERON,DESKTOP,ASIA-PACIFIC,110,1313.0,144430.0,4,8,60,10,5252,10504,78.78
2023-04-16,2023,March,3,Pentium Gold G7400,PENTIUM,DESKTOP,ASIA-PACIFIC,64,541.0,34624.0,2,4,46,10,1082,2164,24.886
2023-04-17,2023,March,3,Celeron G6900,CELERON,DESKTOP,ASIA-PACIFIC,42,455.0,19110.0,2,2,46,10,910,910,20.93
2023-04-18,2023,March,3,Atom C5125,ATOM,EMBEDDED,ASIA-PACIFIC,120,314.0,37680.0,8,8,50,10,2512,2512,15.7
2023-04-19,2023,March,3,Atom C5320,ATOM,EMBEDDED,ASIA-PACIFIC,150,214.0,32100.0,8,8,41,10,1712,1712,8.774
2023-04-20,2023,March,3,Atom C3758R,ATOM,EMBEDDED,ASIA-PACIFIC,95,357.0,33915.0,8,8,26,14,2856,2856,9.282
2023-04-21,2023,March,3,Core i9-12900K,CORE I9,DESKTOP,LATIN AMERICA,589,151.0,88939.0,16,24,125,10,2416,3624,18.875
2023-04-22,2023,March,3,Core i7-12700K,CELERON,DESKTOP,LATIN AMERICA,384,291.0,111744.0,12,20,125,10,3492,5820,36.375
2023-04-23,2023,March,3,Core i5-12600K,CORE I5,DESKTOP,LATIN AMERICA,289,487.0,140743.0,10,16,125,10,4870,7792,60.875
2023-04-24,2023,March,3,Core i5-12400,CORE I5,DESKTOP,LATIN AMERICA,192,,135744.0,6,12,65,10,4242,8484,45.955
2023-04-25,2023,March,3,Core i3-12100,CORE I3,DESKTOP,LATIN AMERICA,110,561.0,61710.0,4,8,60,10,2244,4488,33.66
2023-04-26,2023,March,3,Pentium Gold G7400,PENTIUM,DESKTOP,LATIN AMERICA,64,300.0,19200.0,2,4,46,10,600,1200,13.8
2023-04-27,2023,March,3,Celeron G6900,CELERON,DESKTOP,LATIN AMERICA,42,235.0,9870.0,2,2,46,10,470,470,10.81
2023-04-28,2023,March,3,Atom C5125,ATOM,EMBEDDED,LATIN AMERICA,120,122.0,14640.0,8,8,50,10,976,976,6.1
2023-04-29,2023,March,3,Atom C5320,ATOM,EMBEDDED,LATIN AMERICA,150,120.0,18000.0,8,8,41,10,960,960,4.92
2023-04-30,2023,March,3,Atom C3758R,ATOM,EMBEDDED,LATIN AMERICA,95,191.0,18145.0,8,8,26,14,1528,1528,4.966
2023-05-01,2023,April,4,Core i9-12900K,CORE I9,DESKTOP,NORTH AMERICA,589,353.0,207917.0,16,24,125,10,5648,8472,44.125
2023-05-02,2023,April,4,Core i7-12700K,CORE I7,DESKTOP,NORTH AMERICA,384,725.0,278400.0,12,20,125,10,8700,14500,90.625
2023-05-03,2023,April,4,Core i5-12600K,CELERON,DESKTOP,NORTH AMERICA,289,816.0,235824.0,10,16,125,10,8160,13056,102.0
2023-05-04,2023,March,3,Core i3-12100,CELERON,DESKTOP,EUROPE,110,973.0,107030.0,4,8,60,10,3892,7784,58.38
2023-05-04,2023,April,4,Core i5-12400,CORE I5,DESKTOP,NORTH AMERICA,192,1144.0,,6,12,65,10,6864,13728,74.36
2023-05-05,2023,April,4,Core i3-12100,CORE I3,DESKTOP,NORTH AMERICA,110,,109010.0,4,8,60,10,3964,7928,59.46
2023-05-07,2023,April,4,Celeron G6900,CELERON,DESKTOP,NORTH AMERICA,42,473.0,,2,2,46,10,946,946,21.758
2023-05-08,2023,April,4,Atom C5125,ATOM,EMBEDDED,NORTH AMERICA,120,299.0,35880.0,8,8,50,10,2392,2392,14.95
2023-05-10,2023,April,4,Atom C3758R,ATOM,EMBEDDED,NORTH AMERICA,95,379.0,36005.0,8,8,26,14,3032,3032,9.854
2023-05-10,2023,July,7,Atom C5125,ATOM,EMBEDDED,LATIN AMERICA,120,141.0,16920.0,8,8,50,10,1128,1128,7.05
2023-05-11,2023,August,8,Atom C5320,ATOM,EMBEDDED,ASIA-PACIFIC,150,292.0,43800.0,8,8,41,10,2336,2336,11.972
2023-05-11,2023,April,4,Core i9-12900K,CELERON,DESKTOP,EUROPE,589,263.0,154907.0,16,24,125,10,4208,6312,32.875
2023-05-12,2023,April,4,Core i7-12700K,CORE I7,DESKTOP,EUROPE,384,494.0,189696.0,12,20,125,10,5928,9880,61.75
2023-05-12,2023,September,9,Atom C5320,ATOM,EMBEDDED,EUROPE,150,178.0,26700.0,8,8,41,10,1424,1424,7.298
2023-05-13,2023,April,4,Core i5-12600K,CORE I5,DESKTOP,EUROPE,289,637.0,184093.0,10,16,125,10,6370,10192,79.625
2023-05-14,2023,April,4,Core i5-12400,CELERON,DESKTOP,EUROPE,192,1027.0,,6,12,65,10,6162,12324,66.755
2023-05-15,2023,April,4,Core i3-12100,CELERON,DESKTOP,EUROPE,110,,112090.0,4,8,60,10,4076,8152,61.14
2023-05-16,2023,April,4,Pentium Gold G7400,PENTIUM,DESKTOP,EUROPE,64,426.0,27264.0,2,4,46,10,852,1704,19.596
2023-05-17,2023,April,4,Celeron G6900,CELERON,DESKTOP,EUROPE,42,362.0,15204.0,2,2,46,10,724,724,16.652
2023-05-18,2023,April,4,Atom C5125,ATOM,EMBEDDED,EUROPE,120,,28560.0,8,8,50,10,1904,1904,11.9
2023-05-19,2023,April,4,Atom C5320,ATOM,EMBEDDED,EUROPE,150,172.0,25800.0,8,8,41,10,1376,1376,7.052
2023-05-20,2023,April,4,Atom C3758R,ATOM,EMBEDDED,EUROPE,95,359.0,34105.0,8,8,26,14,2872,2872,9.334
2023-05-21,2023,April,4,Core i9-12900K,CELERON,DESKTOP,ASIA-PACIFIC,589,399.0,235011.0,16,24,125,10,6384,9576,49.875
2023-05-22,2023,April,4,Core i7-12700K,CELERON,DESKTOP,ASIA-PACIFIC,384,649.0,249216.0,12,20,125,10,7788,12980,81.125
2023-05-23,2023,April,4,Core i5-12600K,CELERON,DESKTOP,ASIA-PACIFIC,289,935.0,270215.0,10,16,125,10,9350,14960,116.875
2023-05-24,2023,April,4,Core i5-12400,CELERON,DESKTOP,ASIA-PACIFIC,192,1320.0,253440.0,6,12,65,10,7920,15840,85.8
2023-05-25,2023,April,4,Core i3-12100,CELERON,DESKTOP,ASIA-PACIFIC,110,1094.0,120340.0,4,8,60,10,4376,8752,65.64
2023-05-26,2023,April,4,Pentium Gold G7400,PENTIUM,DESKTOP,ASIA-PACIFIC,64,503.0,32192.0,2,4,46,10,1006,2012,23.138
2023-05-27,2023,April,4,Celeron G6900,CELERON,DESKTOP,ASIA-PACIFIC,42,483.0,20286.0,2,2,46,10,966,966,22.218
2023-05-28,2023,April,4,Atom C5125,ATOM,EMBEDDED,ASIA-PACIFIC,120,292.0,35040.0,8,8,50,10,2336,2336,14.6
2023-05-29,2023,April,4,Atom C5320,ATOM,EMBEDDED,ASIA-PACIFIC,150,202.0,,8,8,41,10,1616,1616,8.282
2023-05-30,2023,April,4,Atom C3758R,ATOM,EMBEDDED,ASIA-PACIFIC,95,382.0,36290.0,8,8,26,14,3056,3056,9.932
2023-05-31,2023,April,4,Core i9-12900K,CELERON,DESKTOP,LATIN AMERICA,589,181.0,106609.0,16,24,125,10,2896,4344,22.625
2023-06-01,2023,April,4,Core i7-12700K,CELERON,DESKTOP,LATIN AMERICA,384,298.0,114432.0,12,20,125,10,3576,5960,37.25
2023-06-02,2023,April,4,Core i5-12600K,CELERON,DESKTOP,LATIN AMERICA,289,385.0,111265.0,10,16,125,10,3850,6160,48.125
2023-06-03,2023,February,2,Core i3-12100,CORE I3,DESKTOP,ASIA-PACIFIC,110,929.0,102190.0,4,8,60,10,3716,7432,55.74
2023-06-03,2023,April,4,Core i5-12400,CELERON,DESKTOP,LATIN AMERICA,192,645.0,123840.0,6,12,65,10,3870,7740,41.925
2023-06-04,2023,April,4,Core i3-12100,CELERON,DESKTOP,LATIN AMERICA,110,618.0,67980.0,4,8,60,10,2472,4944,37.08
2023-06-04,2023,March,3,Pentium Gold G7400,PENTIUM,DESKTOP,EUROPE,64,449.0,,2,4,46,10,898,1796,20.654
2023-06-05,2023,April,4,Pentium Gold G7400,PENTIUM,DESKTOP,LATIN AMERICA,64,249.0,15936.0,2,4,46,10,498,996,11.454
2023-06-05,2023,April,4,Pentium Gold G7400,PENTIUM,DESKTOP,NORTH AMERICA,64,528.0,33792.0,2,4,46,10,1056,2112,24.288
2023-06-06,2023,April,4,Celeron G6900,CELERON,DESKTOP,LATIN AMERICA,42,227.0,9534.0,2,2,46,10,454,454,10.442
2023-06-09,2023,July,7,Atom C5320,ATOM,EMBEDDED,NORTH AMERICA,150,246.0,36900.0,8,8,41,10,1968,1968,10.086
2023-06-09,2023,April,4,Atom C3758R,ATOM,EMBEDDED,LATIN AMERICA,95,201.0,19095.0,8,8,26,14,1608,1608,5.226
2023-06-10,2023,July,7,Atom C5320,ATOM,EMBEDDED,LATIN AMERICA,150,114.0,17100.0,8,8,41,10,912,912,4.674
2023-06-10,2023,May,5,Core i9-12900K,CELERON,DESKTOP,NORTH AMERICA,589,311.0,183179.0,16,24,125,10,4976,7464,38.875
2023-06-11,2023,May,5,Core i7-12700K,CELERON,DESKTOP,NORTH AMERICA,384,673.0,258432.0,12,20,125,10,8076,13460,84.125
2023-06-12,2023,May,5,Core i5-12600K,CELERON,DESKTOP,NORTH AMERICA,289,898.0,259522.0,10,16,125,10,8980,14368,112.25
2023-06-13,2023,May,5,Core i5-12400,CELERON,DESKTOP,NORTH AMERICA,192,1309.0,251328.0,6,12,65,10,7854,15708,85.085
2023-06-14,2023,May,5,Core i3-12100,CORE I3,DESKTOP,NORTH AMERICA,110,947.0,104170.0,4,8,60,10,3788,7576,56.82
2023-06-15,2023,May,5,Pentium Gold G7400,PENTIUM,DESKTOP,NORTH AMERICA,64,594.0,38016.0,2,4,46,10,1188,2376,27.324
2023-06-16,2023,May,5,Celeron G6900,CELERON,DESKTOP,NORTH AMERICA,42,408.0,17136.0,2,2,46,10,816,816,18.768
2023-06-17,2023,May,5,Atom C5125,ATOM,EMBEDDED,NORTH AMERICA,120,244.0,29280.0,8,8,50,10,1952,1952,12.2
2023-06-18,2023,May,5,Atom C5320,ATOM,EMBEDDED,NORTH AMERICA,150,186.0,27900.0,8,8,41,10,1488,1488,7.626
2023-06-19,2023,May,5,Atom C3758R,ATOM,EMBEDDED,NORTH AMERICA,95,388.0,36860.0,8,8,26,14,3104,3104,10.088
2023-06-20,2023,May,5,Core i9-12900K,CORE I9,DESKTOP,EUROPE,589,284.0,167276.0,16,24,125,10,4544,6816,35.5
2023-06-21,2023,May,5,Core i7-12700K,CORE I7,DESKTOP,EUROPE,384,461.0,177024.0,12,20,125,10,5532,9220,57.625
2023-06-22,2023,May,5,Core i5-12600K,CELERON,DESKTOP,EUROPE,289,722.0,208658.0,10,16,125,10,7220,11552,90.25
2023-06-23,2023,May,5,Core i5-12400,CORE I5,DESKTOP,EUROPE,192,991.0,190272.0,6,12,65,10,5946,11892,64.415
2023-06-24,2023,May,5,Core i3-12100,CORE I3,DESKTOP,EUROPE,110,939.0,103290.0,4,8,60,10,3756,7512,56.34
2023-06-25,2023,May,5,Pentium Gold G7400,PENTIUM,DESKTOP,EUROPE,64,406.0,25984.0,2,4,46,10,812,1624,18.676
2023-06-26,2023,May,5,Celeron G6900,CELERON,DESKTOP,EUROPE,42,380.0,15960.0,2,2,46,10,760,760,17.48
2023-06-27,2023,May,5,Atom C5125,ATOM,EMBEDDED,EUROPE,120,217.0,26040.0,8,8,50,10,1736,1736,10.85
2023-06-28,2023,May,5,Atom C5320,ATOM,EMBEDDED,EUROPE,150,203.0,30450.0,8,8,41,10,1624,1624,8.323
2023-06-29,2023,May,5,Atom C3758R,ATOM,EMBEDDED,EUROPE,95,280.0,26600.0,8,8,26,14,2240,2240,7.28
2023-06-30,2023,May,5,Core i9-12900K,CORE I9,DESKTOP,ASIA-PACIFIC,589,334.0,196726.0,16,24,125,10,5344,8016,41.75
2023-07-01,2023,January,1,Celeron G6900,CELERON,DESKTOP,NORTH AMERICA,42,318.0,13356.0,2,2,46,10,636,636,14.628
2023-07-02,2023,May,5,Core i5-12600K,CORE I5,DESKTOP,ASIA-PACIFIC,289,1055.0,304895.0,10,16,125,10,10550,16880,131.875
2023-07-03,2023,May,5,Core i5-12400,CORE I5,DESKTOP,ASIA-PACIFIC,192,1562.0,299904.0,6,12,65,10,9372,18744,101.53
2023-07-04,2023,May,5,Core i3-12100,CORE I3,DESKTOP,ASIA-PACIFIC,110,1085.0,119350.0,4,8,60,10,4340,8680,65.1
2023-07-05,2023,May,5,Pentium Gold G7400,PENTIUM,DESKTOP,ASIA-PACIFIC,64,613.0,39232.0,2,4,46,10,1226,2452,28.198
